scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level
Arackar,Arackar,Arackar (local name),Carnivore,6.069201875694107,329.430404666541,1.4085026972275365,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2019,Chile,Medium predator,Medium
Anzu,Anzu,feathered demon,Omnivore,3.6179262688086586,185.19190125875596,1.8347475044219308,Bipedal,Late Cretaceous (Maastrichtian),"North America (South Dakota, USA)",Oviraptorosaur with crest and claws,2014,"Hell Creek Formation, South Dakota","Crested head, long arms, birdlike body",High
Tuebingosaurus,Tuebingosaurus,Tuebingen lizard,Herbivore,10.522239242333457,,4.3150041835618484,Quadrupedal,Jurassic,Europe,Sauropod dinosaur,2012,Germany,Large sauropod,Large
Proplanicoxa,Proplanicoxa,Before Planicoxa,Herbivore,2.900093676867094,209.35211865522643,1.0261913225735528,Bipedal,Late Cretaceous,North America,Ornithopod dinosaur,2003,USA,Medium-sized ornithopod,Medium
Pisanosaurus,Pisanosaurus,Pisano lizard,Herbivore,1.008198580618561,4.72694944112538,0.45277219077167075,Bipedal,Late Triassic,South America,Ornithischian dinosaur,1967,Argentina,One of the earliest ornithischians,Unknown
Streptospondylus,Streptospondylus,"Twisted vertebrae  ",Carnivore,6.410441890967604,509.2806181872812,2.4348605658154314,Bipedal,Jurassic,Europe,Theropod dinosaur,1808,France,Medium predator,Medium
Dicraeosaurus,Dicraeosaurus,Near bird,Carnivore,0.473585577406786,0.40112674607905335,0.24117513350188835,Bipedal,Late Jurassic,China,Feathered,2009,China,Feathers,Medium
Secernosaurus,Secernosaurus koerneri,Separated lizard,Herbivore,,752.1605301206212,1.5371709382653784,Bipedal/Quadrupedal,Late Cretaceous (Campanian–Maastrichtian),Argentina,South America’s first hadrosaurid with duckbill and strong limbs,1979,Argentina,Possibly migrated from North America; unique limb proportions,Medium
"Kol (genus also refers to foot, köl in Mongolian)",Kol,Kol,Herbivore,3.0995901381016733,211.81590665432796,1.2635155523548913,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2018,Mongolia,Small theropod,Small
Falcarius,Falcarius,sickle cutter,Omnivore,4.250823856863101,,2.1295678366014053,Bipedal,Early Cretaceous (Barremian),"North America (Utah, USA)",Early therizinosaur with long claws and leaf-shaped teeth,2005,"Cedar Mountain Formation, Utah",One of the most basal known therizinosaurs,High
Dinodocus,Dinodocus,terrible beam,Herbivore,,,,Quadrupedal,Jurassic (?),Africa (Tanzania),Fragmentary sauropod; poorly understood,1882,"Manda Formation (?), Tanzania",May be a chimera or misidentified remains,Unknown
Supersaurus,Supersaurus vivianae,Super lizard,Herbivore,,,8.750372453463957,Quadrupedal,Late Jurassic,North America,One of the longest sauropods ever found,1972,Colorado USA,Extremely long neck and tail,Low
Othnielosaurus,Othnielosaurus,Othniel's lizard,Herbivore,1.8228372120577776,18.899284647785425,0.8287574753977722,Bipedal,Late Jurassic,USA,Possibly related to Othnielia,2007,"Morrison Formation, USA",Reclassified small ornithopod,Medium
Merosaurus,Merosaurus,Part lizard,Carnivore,2.768698969526287,99.79069286686426,1.304194463326575,Bipedal,Late Jurassic,Europe,Theropod dinosaur,1883,England,Small predatory dinosaur,Unknown
Loricosaurus,Loricosaurus,Armored lizard,Herbivore,6.359604361350398,3100.6912684227905,2.4542496267491565,Quadrupedal,Late Jurassic,Europe,Ankylosaur dinosaur,2015,Portugal,Medium ankylosaur,Medium
Spinostropheus,Spinostropheus,"Spine vertebra  ",Carnivore,4.889843708602479,325.7896823009779,1.4980842961641387,Bipedal,Jurassic,Africa,Theropod dinosaur,1920,Morocco,Small predator,Medium
Cristatusaurus,Cristatusaurus,crested lizard,Herbivor,9.489333850974855,1808.727497683356,2.898533424506884,Bipedal,Early Cretaceous (Aptian),Africa (Niger),Spinosaurid theropod; possible synonym of Suchomimus,1998,"Tegama Group, Niger",Long snout with conical teeth; piscivorous adaptations,Medium
Neovenator,Neovenator,Near bird,Carnivore,0.4905917497304417,0.40500543213234574,0.2526194599687568,Bipedal,Late Jurassic,China,Feathered,2009,China,Feathers,Medium
Clasmodosaurus,Clasmodosaurus,fragment tooth lizard,Herbivore,,,,Quadrupedal,Late Cretaceous (Campanian),South America (Argentina),Fragmentary sauropod genus; poorly known,1893,"Neuquén Province, Argentina",Tooth-based identification; nomen dubium,Unknown
Machairoceratops,Machairoceratops,Sword horned face,Herbivore,4.099772584275575,1807.7813459728977,1.8266982380472414,Bipedal,Late Cretaceous,North America,Ceratopsian dinosaur,2016,USA,Medium ceratopsian,Medium
Piatnitzkysaurus,Piatnitzkysaurus,Piatnitzky's lizard,Carnivore,6.93699733962934,549.2458197469416,2.15740928123451,Bipedal,Middle Jurassic,Argentina,Medium-sized theropod predator,1977,"Chubut Province, Argentina","Slender, agile build",Medium
Jinyunpelta,Jinyunpelta,Jinyun shield,Herbivore,4.82168069943667,2364.0992274823425,1.958646102350952,Quadrupedal,Late Cretaceous,Asia,Ankylosaur dinosaur,2018,China,Medium ankylosaur,Medium
Qiupalong,Qiupalong,Qiupa dragon,Omnivore,3.0689760087766667,95.19751240137585,1.4587850536181959,Bipedal,Late Cretaceous,China,Ornithomimid with long limbs,2011,"Henan Province, China","Slender build, bird-like legs",Medium
Lufengosaurus,Lufengosaurus,Fused lizard,Herbivore,6.026816841775299,,1.6524044185180287,Quadrupedal,Late Cretaceous,North America,Armored,1908,Canada,Club tail,Medium
Aoniraptor,Aoniraptor,Aoni raptor,Carnivore,5.703057125315719,754.6963677255146,1.8276901556723324,Bipedal,Late Cretaceous (Campanian),South America (Argentina),Megaraptoran theropod with long neural spines,2016,"Huincul Formation, Argentina",Closely related to Gualicho; spine fragments found,Medium
Malefica,Malefica,Evil one,Carnivore,3.481601249290287,,1.1592903618595223,Bipedal,Late Cretaceous,Europe,Theropod dinosaur,2019,Spain,Small theropod,Small
Brontomerus,Brontomerus,thunder thighs,Herbivore,14.408031298077525,12438.63935037233,4.406075360240329,Quadrupedal,Early Cretaceous (Aptian),"North America (Utah, USA)",Macronarian sauropod with large thigh muscles,2011,"Cedar Mountain Formation, Utah",Hip structure suggests powerful leg muscles,Low
Tarascosaurus,Tarascosaurus,"Tarasco lizard  ",Carnivore,5.523297030203967,450.14103643834613,1.8952341351729654,Bipedal,Late Cretaceous,Europe,Theropod dinosaur,1988,France,Medium predator,Medium
Prodeinodon,Prodeinodon,Before Deinodon,Carnivore,6.30269366468751,657.5996149588888,2.1901491061658103,Bipedal,Early Cretaceous,Asia,Theropod dinosaur,1920,China,Large predator,Medium
Pukyongosaurus,Pukyongosaurus,Pukyong lizard,Herbivore,6.426216942640637,2509.5699500321,1.8085683896134392,Bipedal,Late Cretaceous,Asia,Ornithopod dinosaur,2001,South Korea,Medium-sized herbivore,Medium
Leptorhynchos,Leptorhynchos,Slender beak,Herbivore,1.2695352086370228,,0.5433509714362187,Bipedal,Late Cretaceous,North America,Caudipterygid oviraptorosaur,2009,USA,Small feathered dinosaur,Medium
Linhevenator,Linhevenator,Linhe hunter,Carnivore,2.5936074334829593,29.901956972507847,0.8487420256582502,Bipedal,Late Cretaceous,Asia (China),Dromaeosaurid dinosaur,2011,China,Short arms and strong claws,Medium
Tonouchisaurus,Tonouchisaurus,"Tonouchi lizard  ",Herbivore,3.01948571728341,282.6815291541608,1.2956902025881327,Bipedal,Late Cretaceous,Asia,Ornithopod dinosaur,1996,Japan,Medium herbivore,Medium
Kholumolumo,Kholumolumo,Kholumolumo,Herbivore,4.8502159106493945,2831.083837846482,1.9457966464238294,Bipedal,Late Triassic,Africa,Pre-dinosaur reptile,2017,Tanzania,Medium reptile,Medium
Limnosaurus,Limnosaurus,Marsh lizard,carnivor,5.496006682392045,2328.6547770412835,1.8298261000049565,Bipedal,Late Jurassic,Asia,Theropod dinosaur,2006,China,Medium theropod,Medium
Cathartesaura,Cathartesaura,vulture lizard,Herbivore,12.934517405786648,7484.2131134072915,4.123492538468593,Quadrupedal,Late Cretaceous (Turonian),South America (Argentina),Rebbachisaurid sauropod with hollow vertebrae,2005,"Huincul Formation, Patagonia",Lightweight build; complex neural spines,Low
Syrmosaurus,Syrmosaurus,"Syrmo lizard  ",Herbivore,5.540430875738519,nan kg,2.349030463211278,Quadrupedal,Late Cretaceous,Asia,Ankylosaurian dinosaur,1987,Mongolia,Medium armored dinosaur,Medium
Nurosaurus,Nurosaurus,Nuro lizard,Herbivore,8.041208877748316,9736.148050979175,4.389772967876322,Quadrupedal,Late Cretaceous,Asia (China),Titanosaurian sauropod,1993,China,Large sauropod dinosaur,Unknown
Ultrasaurus,Ultrasaurus tabriensis,Ultra lizard,Herbivore,27.40869130062971,54898.198817626806,8.019858005841451,Quadrupedal,Early Cretaceous,South Korea,Name caused taxonomic confusion,1983,South Korea,Often confused with Ultrasauros (US),Low
Futabasaurus,Futabasaurus,Futaba lizard,Carnivore,6.090938472249789,,2.486959772203204,Aquatic (Plesiosaur),Late Cretaceous (Santonian),Asia (Japan),"Elasmosaurid plesiosaur, not a dinosaur",2006,"Fukushima Prefecture, Japan",Marine reptile often confused with dinosaurs,High
Amazonsaurus,Amazonsaurus,Amazon lizard,Herbivor,12.949721618729649,5224.043071674311,4.285033695487019,Quadrupedal,Early Cretaceous (Aptian),South America (Brazil),Basal rebbachisaurid sauropod from Amazon Basin,2003,"Itapecuru Formation, Brazil",Lightweight build; early diplodocoid features,Low
Loncosaurus,Loncosaurus,Chief lizard,Carnivore,1.5380232059400045,9.555292780357247,0.6896057371797606,Bipedal,Late Cretaceous,South America,Small theropod dinosaur,1939,Argentina,Fragmentary remains,Unknown
Astrophocaudia,Astrophocaudia,star tail,Herbivore,15.966069280902188,14770.509100776435,5.930197692698872,Quadrupedal,Early Cretaceous (Albian),"North America (Texas, USA)",Titanosauriform sauropod with long tail,2012,"Trinity Group, Texas",Closely related to Sauroposeidon,Low
Barilium,Barilium,heavy ilium,,8.122577587772717,3088.796722087209,2.904531444197776,Quadrupedal,Early Cretaceous (Valanginian),Europe (England),Iguanodontian dinosaur; robust build,2010,"Wealden Group, East Sussex","Once confused with Iguanodon; large, heavy limb bones",Medium
Albertosaurus,Albertosaurus,Different lizard,Carnivore,12.513457343058409,1805.4926151204995,3.63011523729451,Bipedal,Late Jurassic,North America,Pack hunter,1877,USA,Large skull,Medium
Sacisaurus,Sacisaurus,Saci lizard,Herbivore,1.852037662319665,153.79131456267163,1.151545070595334,Bipedal,Late Triassic,South America,Ornithischian dinosaur,2013,Brazil,Small ornithischian,Small
Craspedodon,Craspedodon,edged tooth,Herbivore,,,,Unknown,Late Cretaceous (Maastrichtian),Europe (Belgium),Possibly hadrosaur or iguanodont; known from teeth,1883,"Limburg, Belgium",Very limited material; taxonomic placement uncertain,Unknown
Aletopelta,Aletopelta,Wandering shield,Herbivore,5.251058031090752,1878.1240474007443,2.0089416523174566,Quadrupedal,Late Cretaceous (Campanian),"North America (California, USA)",Armored herbivore; likely slow-moving,1987 (named in 2001),"Point Loma Formation, California",Heavy armor plates; ankylosaur with unknown skull,Low
Adelolophus,Adelolophus,Noble crest,Herbivore,7.390711465164284,,2.9520150150074764,Bipedal,Late Cretaceous,North America,Hadrosaurid dinosaur,2019,USA,Medium hadrosaur,Medium
Otogosaurus,Otogosaurus,Otogo lizard,Herbivore,7.799801818493258,3454.7752726964986,2.8497730609636682,Quadrupedal,Late Jurassic,Asia (China),Sauropod dinosaur,2004,China,Large sauropod,Unknown
Teratophoneus,Teratophoneus,"Monster murderer  ",Carnivore,6.831451307439242,1439.9725885444398,2.962636173567477,Bipedal,Late Cretaceous,North America,Tyrannosaurid theropod,2011,USA,Medium predator,Medium
Talarurus,Talarurus plicatospineus,Wicker tail,"herbivore ",,,1.5549395308755627,Quadrupedal,Late Cretaceous,Mongolia,Heavily armored ankylosaurid with tail club,1952,Gobi Desert Mongolia,Deep snout and tail club,Low
Taurovenator,Taurovenator,"Bull hunter  ",Carnivore,7.459553952525966,1176.2526790276502,2.73139089326432,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2013,Argentina,Medium predator,Medium
Riabininohadros,Riabininohadros,Riabinin hadrosaur,Herbivore,7.774446524218504,3436.2362600417537,3.1704556659383423,Bipedal,Late Cretaceous,Europe,Hadrosaur dinosaur,2015,Ukraine,Large herbivore,Medium
Iuticosaurus,Iuticosaurus,Iutici lizard (named after Iutici tribe),OMNIVORE,8.106665258867462,12887.98803453123,4.366142476201134,Quadrupedal,Late Cretaceous,Asia (Europe),Titanosaurian sauropod,1996,Europe,Large body and long tail,Low
Turanoceratops,Turanoceratops,"Turan horned face  ",Herbivore,5.3160405244007585,1804.3426127016032 kg,1.839833252158572,Quadrupedal,Late Cretaceous,Asia,Ceratopsian dinosaur,2009,Kazakhstan,Medium ceratopsian,Medium
Amanzia,Amanzia,Amanzia (local river),Herbivore,6.566256300231681,2142.7443983410603,2.2584513658236065,Quadrupedal,Late Jurassic,Europe,Sauropod dinosaur,2009,Switzerland,Medium sauropod,Medium
Epanterias,Epanterias,reinforcement,Carnivore,11.330641237762578,3253.3172576064135,3.6563793987169784,Bipedal,Late Jurassic (Kimmeridgian),"North America (Colorado, USA)","Dubious genus, possibly large Allosaurus specimen",1878,"Morrison Formation, Colorado",Nomen dubium due to limited material,Unknown
Qiaowanlong,Qiaowanlong,Qiaowan dragon,Herbivore,8.393184928551541,3765.099446902348,3.164704078515043,Bipedal,Early Cretaceous,Asia,Ornithopod dinosaur,2010,China,Large herbivore,Medium
Tamarro,Tamarro,Tamarro,Carnivore,2.5151701880051696,47.65754507041194,1.0962251160066128,Bipedal,Late Cretaceous,Europe,Troodontid dinosaur,2021,Spain,"Small, bird-like dinosaur",Small
Serendipaceratops,Serendipaceratops,Serendip horned face,Herbivore,5.213450936739471,2025.3071441755283,2.075590533827807,Quadrupedal,Late Cretaceous,Oceania,Ceratopsian dinosaur,2010,Australia,Medium ceratopsian,Medium
Aragosaurus,Aragosaurus,Near bird,Carnivore,0.459749812862435,0.4134640254376802,0.2559938751400063,Bipedal,Late Jurassic,China,Feathered,2009,China,Feathers,Medium
Guemesia,Guemesia,Guemesia,Carnivore,3.370846837736996,137.60985113251928,1.6138222758322214,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2021,Argentina,Medium theropod,Medium
Trachodon,Trachodon,"Trachodon (rough tooth)  ",Herbivore,8.210446098010976,3293.2817016812387,3.179573332193731,Bipedal,Late Cretaceous,North America,Hadrosaurid dinosaur,1856,USA,Medium hadrosaur,Medium
Taohelong,Taohelong,"Taohe dragon  ",Carnivore,6.3096240133722725,376.98327224301664,2.002166374775344,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2019,China,Medium predator,Medium
Galeamopus,Galeamopus,helmet face,Herbivore,24.204762588460543,13666.277810281821,4.550428004948824,Quadrupedal,Late Jurassic (Kimmeridgian),"North America (Wyoming, USA)",Diplodocid sauropod with distinct neck structure,2015,"Morrison Formation, Wyoming",Formerly classified as Diplodocus,Low
Elmisaurus,Elmisaurus,foot of Elmyr,Omnivore,2.1505998378729334,,1.0951850534095962,Bipedal,Late Cretaceous (Campanian),Asia (Mongolia),Oviraptorosaur with fused foot bones,1981,"Nemegt Formation, Mongolia",Known for unusual metatarsal fusion,High
Gargoyleosaurus,Gargoyleosaurus,Near horned face,Herbivore,5.58270789312188,1974.5239796834235,1.9649415505229537,Quadrupedal,Late Cretaceous,Canada,Horned face,1912,Canada,Large frill,Low
Kelmayisaurus,Kelmayisaurus,Kelmay lizard,Carnivore,6.304611736904864,,2.7341763545341617,Bipedal,Early Cretaceous,Asia (China),Tyrannosauroid theropod,2006,China,Long snout and slender build,Medium
Muttaburrasaurus,Muttaburrasaurus,Sand lizard,,4.395068454757976,288.2638503883688,1.1876215122157985,Bipedal,Early Jurassic,USA,Early sauropodomorph,1889,USA,Slender build,Medium
Caudipteryx,Caudipteryx,Near lizard,Herbivore,1.9035942400706982,,1.001765850152514,Bipedal,Early Jurassic,USA,Small herbivore,1818,USA,Small body,Medium
Furcatoceratops,Furcatoceratops,Forked horned face,Herbivore,5.490887350861165,1470.3115451361987,1.8057439701270448,Quadrupedal,Late Cretaceous,North America,Ceratopsian dinosaur,2019,USA,Medium ceratopsian,Medium
Jianianhualong,Jianianhualong,Jianianhua dragon,Carnivore,2.7923390601368077,154.553643589012,1.649932601776828,Bipedal,Late Cretaceous,Asia,Feathered theropod,2017,China,Medium theropod,Medium
Aquilarhinus,Aquilarhinus,eagle snout,Herbivore,6.531150388791547,,2.338939000533616,Quadrupedal,Late Cretaceous (Campanian),"North America (Texas, USA)",Primitive hadrosaur with unique curved beak,2019,"Blufftown Formation, Texas",Beak resembles eagle's; may clarify hadrosaur origins,Medium
Notatesseraeraptor,Notatesseraeraptor,Tiled thief,Carnivore,5.3645927610300115,,2.0202315295873565,Bipedal,Late Jurassic,Europe,Theropod dinosaur,2020,Portugal,Medium theropod,Medium
Elemgasem,Elemgasem,Elemgasem hunter,Carnivore,6.0153902874673015,979.9324616598461,3.1795458238181227,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2020,Argentina,Large predator,Large
Rhabdodon,Rhabdodon,Rod tooth,Herbivore,5.182385359911635,1321.8687987819035,1.814131331510941,Bipedal,Late Cretaceous,Europe,Iguanodont-like ornithopod,1869,"France, Spain",Robust build,Medium
Nicksaurus,Nicksaurus,Nick's lizard,"herbivore ",4.567996404559607,1771.3146142228109,2.0908475404870055,Bipedal,Late Jurassic,North America,Theropod dinosaur,2017,USA,Medium theropod,Medium
Machairasaurus,Machairasaurus,Sword lizard,Carnivore,1.3892233124775322,15.10982595937946,0.5197779162103449,Bipedal,Late Cretaceous,Asia (China),Alvarezsaurid theropod,2009,China,"Small, bird-like dinosaur",Medium
Chucarosaurus,Chucarosaurus,Chucaro lizard,Herbivore,9.771225357393035,7489.450603567026,3.112263388768928,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,2019,Argentina,Medium-large sauropod,Medium
Ruehleia,Ruehleia,Ruehle's lizard,Herbivore,4.558180645976844,201.30957342723087,1.4095796309829518,Bipedal,Early Jurassic,Europe,Sauropodomorph dinosaur,1939,Germany,Early sauropodomorph,Medium
Thanos,Thanos,"Thanatos (death god)  ",Carnivore,7.238435089210691,1390.915905913857,3.2893331893149353,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2019,China,Medium predator,Medium
Tawa,Tawa,"Tawa (mythological bird)  ",Carnivore,2.7399916904356036,19.242013737038523,1.0272471847850704,Bipedal,Late Triassic,North America,Theropod dinosaur,2009,USA,Small predator,Medium
Taleta,Taleta,Taleta,Herbivore,4.518251040351027,1939.9983370735088,2.1622810746129213,Quadrupedal,Jurassic,Asia,Sauropod dinosaur,2015,China,Medium-sized sauropod,Medium
Camarasaurus,Camarasaurus,Vineyard lizard,Herbivore,15.709537566159927,4539.553654035311 kg,3.786974324811157,Quadrupedal,Late Cretaceous,France,Armored,1989,France,Bony armor,Low
Hanwulosaurus,Hanwulosaurus,Hanwulo lizard,Herbivore,7.356983888963524,10000000.0,2.448501495616497,Quadrupedal,Late Jurassic,Asia (China),Sauropod dinosaur known from vertebrae and limb bones,2001,"Inner Mongolia, China",Related to mamenchisaurids,Low
Vectaerovenator,Vectaerovenator,Vectis air hunter,Carnivore,3.7074966687378526,144.20049749941256,1.4121633619315102,Bipedal,Cretaceous,Europe,Theropod dinosaur,2020,UK,Small theropod,Small
Koshisaurus,Koshisaurus,Kosshi lizard,Herbivor,3.3188240311073804,274.29287942804734,1.1757412218597327,Bipedal,Late Cretaceous,Asia (Japan),Ornithopod dinosaur,2004,Japan,Known from partial skeleton,Medium
Stellasaurus,Stellasaurus,Star lizard,Herbivore,5.73958766194246,3356.3115334459167,3.0329101371535923,Bipedal,Late Cretaceous,North America,Ceratopsian dinosaur,2021,USA,Medium ceratopsian,Medium
Apatosaurus,Apatosaurus,Almond tooth,Herbivore,20.58823967731308,23948.229855291916,6.8591679021349465,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low
Postosuchus,Postosuchus,Post crocodile,unknown,4.757262169124484,554.3235634383354,2.186042041906548,Bipedal,Late Triassic,North America,Pseudosuchian archosaur,1937,USA,Top predator of its time,Medium
Microraptor,Microraptor,Near lizard,Herbivore,2.0783076053226903,49.894996119350374,1.097933153821348,Bipedal,Early Jurassic,USA,Small herbivore,1818,USA,Small body,Medium
Magnapaulia,Magnapaulia,Large Paulia,Herbivore,14.654685779647716,18824.719157968913,4.815164460550374,Quadrupedal,Late Cretaceous,North America,Hadrosaurid dinosaur,2012,USA,Large duck-billed dinosaur,Medium
Campylodoniscus,Campylodoniscus,bent tooth,Herbivore,16.25889286290907,11537.226291124889,4.719345666158292,Quadrupedal,Late Cretaceous (Cenomanian),South America (Argentina),Poorly known titanosaur; named from teeth,1933,"Unknown Formation, Argentina",Originally classified as ornithopod; now titanosaur,Low
Baryonyx,Baryonyx,Almond tooth,Herbivore,9.236470603474872,1674.463530972421,3.2485480059042233,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low
Conchoraptor,Conchoraptor,Near bird,Carnivore,0.5377150165411683,0.4019491071269495,0.24344653163765562,Bipedal,Late Jurassic,China,Feathered,2009,China,Feathers,Medium
Meroktenos,Meroktenos,Black swimmer,Herbivore,6.580460391940628,4133.076415121176,3.230798925122145,Bipedal,Early Jurassic,Africa,Sauropodomorph dinosaur,2009,South Africa,Medium sauropodomorph,Medium
Almas,Almas,Almas (mythical creature),Omnivore,,,,?,?,Asia,Theropod dinosaur,2017,Mongolia,Unknown,?
Procheneosaurus,Procheneosaurus,Early Neosaurus,Herbivore,5.204513253574234,1267.7459856770006,1.9970906186594641,Bipedal,Late Cretaceous,Asia,Hadrosaur dinosaur,1936,Mongolia,Medium-sized hadrosaur,Medium
Texasetes,Texasetes,"Texas hunter  "," CARNIVORE",2.103954044518113,46.107332823164406,0.9195357142763844,Quadrupedal,Late Cretaceous,North America,Ornithischian dinosaur,1995,USA,Small herbivore,Medium
Nurosaurus,Nurosaurus,Nuro lizard,Herbivor,7.889133385429325,,4.264461962435038,Quadrupedal,Late Cretaceous,Asia (China),Titanosaurian sauropod,1993,China,Large sauropod dinosaur,Unknown
Bustingorrytitan,Bustingorrytitan,Bustingorry titan,Herbivore,29.896196571028078,43947.56848003283,7.6552823005569754,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,2019,Argentina,Large sauropod,Large
Condorraptor,Condorraptor,Condor thief,Carnivore,4.248594591199949,424.0164297161055,1.4978825418907473,Bipedal,Middle Jurassic (Aalenian–Bajocian),South America (Argentina),Megalosaurid theropod; large predator of its time,2005,"Cañadón Asfalto Formation, Patagonia",One of oldest known megalosaurids,Medium
Leyesaurus,Leyesaurus,Leyes lizard,Herbivore,3.7649274752571085,406.78055487233325,1.0339666562958085,Bipedal,Late Triassic,South America,Sauropodomorph dinosaur,2011,Argentina,Small early sauropodomorph,Medium
Monoclonius,Monoclonius,Single sprout,Herbivore,5.71493842918361,1971.8637738595116 kg,1.9523917289234893,Quadrupedal,Late Cretaceous,North America,Ceratopsian dinosaur,1876,USA,Closely related to Centrosaurus,Unknown
Zarafasaura,Zarafasaura oceanis,Giraffe lizard,Carnivore,7.207168871001461,,3.0875377105916506,Aquatic,Late Cretaceous,Morocco,Elasmosaurid plesiosaur,2011,"Oulad Abdoun Basin, Morocco","Long neck, marine reptile",Medium
Willinakaqe,Willinakaqe,Willinakaqe warrior,Omnivore,3.278106958516336,105.19881952051318,1.03532061444161,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2011,Argentina,Small theropod,Small
Sasayamagnomus,Sasayamagnomus,Sasayama giant,unknown,6.014614588925978,3592.460908473937,2.8923447300531158,Bipedal,Late Cretaceous,Asia,Sauropod dinosaur,2020,Japan,Medium sauropod,Medium
Algoasaurus,Algoasaurus,Algoa lizard,Herbivore,9.386618832185773,3979.8387742147374,3.7625339266586266,Quadrupedal,Early Cretaceous (Valanginian),Africa (South Africa),Sauropod; limited fossil material,1904,"Enon Formation, South Africa",One of the first dinosaurs discovered in Africa,Low
Propanoplosaurus,Propanoplosaurus,Before Panoplosaurus,Herbivore,1.5652135322441674,,0.7061895141544713,Quadrupedal,Late Cretaceous,North America,Ankylosaur dinosaur,1990,USA,Small armored herbivore,Medium
Qinlingosaurus,Qinlingosaurus,Qinling lizard,,10.446443081517788,,3.3390907075773546,Quadrupedal,Late Cretaceous,Asia,Sauropod dinosaur,1997,China,Large herbivore,Medium
Agujaceratops,Agujaceratops,Aguja horned face,Herbivore,4.48005131166617,2198.6223171049937,1.9132972979542373,Quadrupedal,Late Cretaceous,"Texas, USA",Chasmosaurine ceratopsid; elaborate frill,1938 (described 2006),"Aguja Formation, Texas",Long frill with ornamental spikes,Medium
Lucianovenator,Lucianovenator,Luciano's hunter,Carnivore,3.7959694168747067,1777.9865311716876,1.562318741679123,Bipedal,Late Jurassic,South America,Theropod dinosaur,2017,Argentina,Medium theropod,Medium
Baurutitan,Baurutitan,Bauru titan,Herbivore,13.93825412526862,8853.694815782392,4.47592878103535,Quadrupedal,Late Cretaceous (Maastrichtian),South America (Brazil),Titanosaur sauropod named after Bauru Basin,2005,"Serra da Galga Formation, Brazil",Known from vertebrae; shares traits with Trigonosaurus,Low
Guanlong,Guanlong,Alvarez's lizard,Carnivore,2.1737259844890464,21.24788841922785,0.7301623724576535,Bipedal,Late Cretaceous,Argentina,Small predator,1991,Argentina,Tiny arms,Medium
Nothronychus,Nothronychus,Vineyard lizard,Herbivore,16.023999205714667,4536.222895743068,4.267556201342988,Quadrupedal,Late Cretaceous,France,Armored,1989,France,Bony armor,Low
Zarafasaura,Zarafasaura oceanis,Giraffe lizard,"herbivore ",7.266500304258545,1092.551918490578,2.834956558725981,Aquatic,Late Cretaceous,Morocco,Elasmosaurid plesiosaur,2011,"Oulad Abdoun Basin, Morocco","Long neck, marine reptile",Medium
Ouranosaurus,Ouranosaurus,Brave lizard,Herbivore,7.625962449624676,2101.0322160628994,3.374872236825273,Bipedal,Early Cretaceous,Niger,Possibly used sail for thermoregulation,1965,"Gadoufaoua, Niger",Large back sail,Low
Dyslocosaurus,Dyslocosaurus,hard to place lizard," CARNIVORE",16.97570489635209,10945.784079107429,4.51625900673137,Quadrupedal,Late Jurassic (Kimmeridgian),"North America (Wyoming, USA)",Possible diplodocoid; origin and taxonomy uncertain,1992,"Morrison Formation, Wyoming",May be sauropod or misidentified remains,Unknown
Struthiomimus,Struthiomimus,Ostrich mimic,Omnivore,4.59538046602458,161.10859848515457,1.9333897726589382,Bipedal,Late Cretaceous,North America,Very fast runner with ostrich-like build,1914,Alberta Canada,Long legs and toothless beak,Medium
Ugrunaaluk,Ugrunaaluk,Ancient grazer (Iñupiat),Herbivore,9.030689812783999,3033.451907781817,2.7617918102858976,Quadrupedal,Late Cretaceous,"Northern Alaska, USA",May have lived in herds; adapted to polar climate,2009,"Alaska, USA",Adapted to darkness and cold; polar hadrosaurid,Low
Gasosaurus,Gasosaurus,Near lizard,Herbivore,2.0767026018155144,54.33496167801923,0.9992028565678166,Bipedal,Early Jurassic,USA,Small herbivore,1818,USA,Small body,Medium
Taurovenator,Taurovenator,"Bull hunter  ",Carnivore,7.0779365397462755,1268.088413745232,3.0213047742142285,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2013,Argentina,Medium predator,Medium
Segisaurus,Segisaurus,Segi lizard,Carnivore,1.064642679418219,2.889034612388,0.31953617130125284,Bipedal,Early Jurassic,North America,Theropod dinosaur,1936,USA,Small predator,Medium
